id_municipio;Urbano
1100015;1
1100023;1
1100031;0
1100049;1
1100056;1
1100064;1
1100072;0
1100080;1
1100098;1
1100106;1
1100114;1
1100122;1
1100130;1
1100148;0
1100155;1
1100189;1
1100205;1
1100254;1
1100262;0
1100288;1
1100296;1
1100304;1
1100320;0
1100338;1
1100346;1
1100379;0
1100403;0
1100452;1
1100502;0
1100601;0
1100700;0
1100809;1
1100908;0
1100924;0
1100940;1
1101005;0
1101104;1
1101203;0
1101302;1
1101401;1
1101435;0
1101450;0
1101468;1
1101476;0
1101484;0
1101492;1
1101500;0
1101559;0
1101609;0
1101708;0
1101757;0
1101807;0
1200013;0
1200054;1
1200104;1
1200138;0
1200179;0
1200203;1
1200252;1
1200302;1
1200328;0
1200336;1
1200344;1
1200351;0
1200385;1
1200393;0
1200401;1
1200427;0
1200435;1
1200450;1
1200500;1
1200609;1
1200708;1
1200807;0
1300029;1
1300060;1
1300086;0
1300102;1
1300144;1
1300201;0
1300300;0
1300409;1
1300508;0
1300607;1
1300631;1
1300680;1
1300706;1
1300805;0
1300839;0
1300904;1
1301001;1
1301100;0
1301159;0
1301209;1
1301308;1
1301407;1
1301506;1
1301605;1
1301654;1
1301704;1
1301803;0
1301852;1
1301902;1
1301951;1
1302009;1
1302108;0
1302207;1
1302306;1
1302405;1
1302504;1
1302553;0
1302603;1
1302702;0
1302801;0
1302900;1
1303007;0
1303106;0
1303205;1
1303304;1
1303403;1
1303502;1
1303536;0
1303569;0
1303601;0
1303700;1
1303809;0
1303908;0
1303957;1
1304005;0
1304062;1
1304104;1
1304203;1
1304237;1
1304260;1
1304302;1
1304401;1
1400027;0
1400050;0
1400100;1
1400159;0
1400175;0
1400209;1
1400233;0
1400282;0
1400308;1
1400407;0
1400456;0
1400472;0
1400506;1
1400605;1
1400704;0
1500107;1
1500131;1
1500206;0
1500305;0
1500347;0
1500404;1
1500503;1
1500602;1
1500701;0
1500800;1
1500859;1
1500909;0
1500958;0
1501006;0
1501105;0
1501204;1
1501253;0
1501303;0
1501402;1
1501451;0
1501501;1
1501576;1
1501600;0
1501709;1
1501725;0
1501758;1
1501782;1
1501808;1
1501907;0
1501956;0
1502004;0
1502103;0
1502152;1
1502202;1
1502301;0
1502400;1
1502509;0
1502608;0
1502707;1
1502756;1
1502764;0
1502772;1
1502806;0
1502855;0
1502905;0
1502939;1
1502954;1
1503002;1
1503044;0
1503077;0
1503093;1
1503101;0
1503200;1
1503309;0
1503408;0
1503457;0
1503507;0
1503606;1
1503705;0
1503754;0
1503804;1
1503903;0
1504000;0
1504059;1
1504109;0
1504208;1
1504307;0
1504406;0
1504422;1
1504455;0
1504505;0
1504604;1
1504703;0
1504802;0
1504901;0
1504950;0
1504976;1
1505007;0
1505031;1
1505064;0
